"MERDSSG100"	"MERDSSG103"	"MERDSSG109"	"MERDSSG10"	"MERDSSG112"	"MERDSSG115"	"MERDSSG118"	"MERDSSG124"	"MERDSSG127"	"MERDSSG130"	"MERDSSG133"	"MERDSSG139"	"MERDSSG142"	"MERDSSG145"	"MERDSSG148"	"MERDSSG14"	"MERDSSG154"	"MERDSSG157"	"MERDSSG160"	"MERDSSG163"	"MERDSSG169"	"MERDSSG172"	"MERDSSG175"	"MERDSSG178"	"MERDSSG20"	"MERDSSG23"	"MERDSSG25"	"MERDSSG30"	"MERDSSG37"	"MERDSSG39"	"MERDSSG42"	"MERDSSG44"	"MERDSSG49"	"MERDSSG4"	"MERDSSG52"	"MERDSSG55"	"MERDSSG58"	"MERDSSG64"	"MERDSSG67"	"MERDSSG6"	"MERDSSG72"	"MERDSSG73"	"MERDSSG79"	"MERDSSG84"	"MERDSSG85"	"MERDSSG89"	"MERDSSG94"	"MERDSSG97"	"MERDSSGB2"	"MERDSSGB3"	"MERDSSGB4"	"MERDSSGB5"	"MERDSSGZ2"	"MERDSSGZ3"	"MERDSSGZ4"	"MERDSSGZ5"
"OTU449"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU2808"	0	0	0	2	11	1	1	0	0	0	0	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	2	0	4	0	0	0
"OTU2801"	2	0	4	5	0	1	3	0	0	0	0	6	9	0	0	0	6	2	2	0	0	0	0	0	13	2	0	2	0	0	0	0	0	0	3	2	0	1	6	5	0	0	0	0	0	0	0	8	6	4	4	0	6	12	2	0
"OTU241"	0	1	0	2	0	0	0	0	0	0	0	0	6	1	2	1	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	3	4	5	3	8	15	2	14
"OTU1486"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU1806"	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	0	0	1	1	3	0
"OTU56"	5	2	3	12	1	2	4	0	0	0	0	4	8	0	4	2	4	0	0	3	0	0	0	0	14	8	4	5	0	0	0	0	2	3	2	2	4	11	2	3	0	0	0	0	0	0	0	12	10	8	2	15	7	21	4	0
"OTU150"	19	3	38	14	14	20	12	0	0	0	0	14	32	17	6	10	23	33	13	22	0	2	0	0	20	8	3	9	0	0	0	0	18	6	16	13	6	23	16	15	14	7	0	0	0	0	28	16	10	9	8	2	8	21	6	10
"OTU501"	0	0	0	3	0	0	1	0	0	0	0	6	2	0	12	4	3	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	1	5	0	0	0	0	0	0	0	0	0	0	6	7	1	16	6	10	3	18
"OTU1516"	2	0	0	10	3	3	2	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	7	4	0	0	0	1	0	0	0	0	0	0	0	0	7	3	0	0	3	2	7	5	0
"OTU161"	6	124	9	35	33	110	51	8	0	0	0	29	18	11	54	117	4	17	49	68	0	0	0	0	14	15	9	109	0	0	0	0	20	46	9	20	40	12	8	18	20	31	0	0	0	0	17	12	16	9	22	21	28	12	19	26
"OTU361"	0	0	0	7	0	4	0	0	0	0	0	4	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	1	0
"OTU18641"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0
"OTU15700"	0	1	1	2	0	0	0	0	0	0	0	9	2	0	3	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	5	0	0	3	0	0	0	0	0	0	0	0	5	5	0	1	11	4	12	7
"OTU111"	0	0	12	3	0	4	0	0	0	0	0	10	13	0	4	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	5	0	0	1	1	0	0	0	0	0	0	38	9	0	2	6	27	0	1
"OTU97"	58	63	33	111	39	100	68	3	0	0	0	116	83	28	51	31	42	16	46	50	0	0	0	0	56	20	29	40	0	0	0	0	77	72	65	101	65	53	24	52	22	58	0	0	0	0	30	18	194	189	229	145	219	218	298	261
"OTU139"	41	88	174	14	158	49	82	7	1	2	2	190	36	35	31	44	740	645	62	202	220	12	87	88	31	199	120	72	0	0	0	11	228	11	21	17	103	22	347	52	266	272	387	144	222	31	18	112	12	5	11	13	26	22	13	23
"OTU22817"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU20162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"OTU75"	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
"OTU17309"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	2
